Tender,Date,Competitors,Bid_value_without_inflation,Winner,Bid_value,Bid_value_inflation_raw_milk_price_adjusted_bid,Collusive_competitor,only_cartels_bidding_on_contract,Number_bids,CV,SPD,DIFFP,RD,KURT,SKEW,KSTEST,Collusive_competitor_original
2702,1988,92,0.1207,1,0.0847510157273918,0.0181510157273918,0,0,2,0.0791,0.1185,0.1185,0.0,0.0,0.0,0.5,0
2702,1988,47,0.135,0,0.0947919397116644,0.0281919397116644,0,0,2,0.0791,0.1185,0.1185,0.0,0.0,0.0,0.5,0
3107,1989,92,0.1352,1,0.0911828796223446,0.0203828796223446,0,0,2,0.0247,0.0355,0.0355,0.0,0.0,0.0,0.5,0
3107,1989,47,0.14,0,0.094420141620771,0.023620141620771,0,0,2,0.0247,0.0355,0.0355,0.0,0.0,0.0,0.5,0
340,1981,8,0.1217,1,0.1105097881355932,0.0336097881355932,0,0,3,0.0369,0.0764,0.0435,-0.3308,0.0,-0.4144,0.3333,0
340,1981,6,0.127,0,0.1153224576271186,0.0384224576271186,0,0,3,0.0369,0.0764,0.0435,-0.3308,0.0,-0.4144,0.3333,0
340,1981,73,0.131,0,0.1189546610169491,0.0420546610169491,0,0,3,0.0369,0.0764,0.0435,-0.3308,0.0,-0.4144,0.3333,0
919,1983,73,0.1171,1,0.0948574182574182,0.0184574182574182,0,0,3,0.0414,0.0845,0.0845,-2.0536,0.0,-1.0768,0.3636,0
919,1983,6,0.127,0,0.1028769608769608,0.0264769608769608,0,0,3,0.0414,0.0845,0.0845,-2.0536,0.0,-1.0768,0.3636,0
919,1983,8,0.124,0,0.1004467964467964,0.0240467964467964,0,0,3,0.0414,0.0845,0.0845,-2.0536,0.0,-1.0768,0.3636,0
1246,1984,73,0.119,1,0.093071897810219,0.0189718978102189,0,0,2,0.0,0.0,0.0,4.3875,0.0,0.0,0.0,0
1594,1985,73,0.1241,1,0.0937751410437235,0.0229751410437235,0,0,2,0.0051,0.0073,0.0073,0.0,0.0,0.0,0.5,0
1594,1985,6,0.125,0,0.0944552186177715,0.0236552186177715,0,0,2,0.0051,0.0073,0.0073,0.0,0.0,0.0,0.5,0
1955,1986,73,0.119,1,0.0879065839365735,0.0179065839365735,0,0,2,0.0234,0.0336,0.0336,0.0,0.0,0.0,0.5,0
1955,1986,6,0.123,0,0.0908614270941054,0.0208614270941054,0,0,2,0.0234,0.0336,0.0336,0.0,0.0,0.0,0.5,0
2339,1987,73,0.1226,1,0.0884321104005385,0.0183321104005385,0,0,3,0.0971,0.2153,0.1256,0.0,0.0,-0.4916,0.3333,0
2339,1987,3,0.149,0,0.1074745876809155,0.0373745876809155,0,0,3,0.0971,0.2153,0.1256,0.0,0.0,-0.4916,0.3333,0
2339,1987,6,0.138,0,0.0995402221474251,0.0294402221474251,0,0,3,0.0971,0.2153,0.1256,0.0,0.0,-0.4916,0.3333,0
2749,1988,73,0.123,1,0.086365989515072,0.019765989515072,0,0,3,0.0757,0.1626,0.1057,0.0,0.0,-0.8524,0.3333,0
2749,1988,3,0.143,0,0.100409239842726,0.033809239842726,0,0,3,0.0757,0.1626,0.1057,0.0,0.0,-0.8524,0.3333,0
2749,1988,6,0.136,0,0.0954941022280472,0.0288941022280471,0,0,3,0.0757,0.1626,0.1057,0.0,0.0,-0.8524,0.3333,0
3151,1989,73,0.147,0,0.0991411487018096,0.0283411487018095,0,0,3,0.055,0.1053,0.0977,0.0,0.0,-1.7002,0.5952,0
3151,1989,3,0.133,1,0.0896991345397325,0.0188991345397324,0,0,3,0.055,0.1053,0.0977,0.0,0.0,-1.7002,0.5952,0
3151,1989,6,0.146,0,0.098466719118804,0.027666719118804,0,0,3,0.055,0.1053,0.0977,0.0,0.0,-1.7002,0.5952,0
3523,1990,6,0.157,0,0.1022026123936816,0.0225026123936816,0,0,4,0.0226,0.0523,0.0085,0.0,-0.3162,0.8673,0.3375,0
3523,1990,3,0.153,1,0.0995987241798298,0.0198987241798298,0,0,4,0.0226,0.0523,0.0085,0.0,-0.3162,0.8673,0.3375,0
