Tender,Difference Bid/PTE,Winner,Competitors,Legal_entity_type,Site,Capital,Pre-Tender Estimate (PTE),Bid_value,Cartel_name,Collusive_competitor,Number_bids,CV,SPD,DIFFP,RD,KURT,SKEW,KSTEST,Collusive_competitor_original
2,27.78673,0,185120045,10,69.0830001831055,2000000.0,1678484.92,121208884.72,0,0,62,0.0928,0.7131,0.016,0.1672,4.807,0.8307,0.462,0
2,33.81145,0,228840278,7,250.042007446289,80000.0,1678484.92,111096483.05,1,0,62,0.0928,0.7131,0.016,0.1672,4.807,0.8307,0.462,1
2,38.80039,0,238930010,11,0.347000002861023,208000.0,1678484.92,102722622.49,1,0,62,0.0928,0.7131,0.016,0.1672,4.807,0.8307,0.462,1
2,33.41176,0,276690823,11,991.082214355469,30988.0,1678484.92,111767356.69,1,0,62,0.0928,0.7131,0.016,0.1672,4.807,0.8307,0.462,1
2,35.09133,0,287960512,2,311.136993408203,80000.0,1678484.92,108948223.77,1,0,62,0.0928,0.7131,0.016,0.1672,4.807,0.8307,0.462,1
2,31.55115,0,308900281,11,236.891006469727,100000.0,1678484.92,114890362.52,0,0,62,0.0928,0.7131,0.016,0.1672,4.807,0.8307,0.462,0
2,32.3713,0,323030429,7,320.763977050781,80000.0,1678484.92,113513753.11,0,0,62,0.0928,0.7131,0.016,0.1672,4.807,0.8307,0.462,0
2,32.54529,0,12464190151,10,92.6620025634766,2600000.0,1678484.92,113221713.52,0,0,62,0.0928,0.7131,0.016,0.1672,4.807,0.8307,0.462,0
2,31.00656,0,416500379,3,207.722030639648,80000.0,1678484.92,115804448.62,1,0,62,0.0928,0.7131,0.016,0.1672,4.807,0.8307,0.462,1
2,35.30134,0,447840356,7,169.102996826172,80000.0,1678484.92,108595725.15,1,0,62,0.0928,0.7131,0.016,0.1672,4.807,0.8307,0.462,1
2,33.75516,0,486000011,10,3.64099907875061,224640.0,1678484.92,111190964.97,1,0,62,0.0928,0.7131,0.016,0.1672,4.807,0.8307,0.462,1
2,40.04,0,494890015,10,1.82700002193451,650000.0,1678484.92,100641955.8,1,0,62,0.0928,0.7131,0.016,0.1672,4.807,0.8307,0.462,1
2,39.55001,0,519990014,10,4.41699981689453,780000.0,1678484.92,101464396.63,1,0,62,0.0928,0.7131,0.016,0.1672,4.807,0.8307,0.462,1
2,46.65781,0,527690010,9,6.76900005340576,30987.419921875,1678484.92,89534061.51,1,0,62,0.0928,0.7131,0.016,0.1672,4.807,0.8307,0.462,1
2,33.36547,0,585250079,11,77.5220184326172,98800.0,1678484.92,111845053.76,1,0,62,0.0928,0.7131,0.016,0.1672,4.807,0.8307,0.462,1
2,32.57518,0,715350153,7,88.5,80000.0,1678484.92,113171543.6,0,0,62,0.0928,0.7131,0.016,0.1672,4.807,0.8307,0.462,0
2,34.7,0,912600012,10,72.5070037841797,3612000.0,1678484.92,109605065.28,0,0,62,0.0928,0.7131,0.016,0.1672,4.807,0.8307,0.462,0
2,35.52003,0,1185810056,9,29.9580020904541,10329.1396484375,1678484.92,108228657.29,0,0,62,0.0928,0.7131,0.016,0.1672,4.807,0.8307,0.462,0
2,35.27006,0,954800165,10,118.512001037598,1033000.0,1678484.92,108648228.16,0,0,62,0.0928,0.7131,0.016,0.1672,4.807,0.8307,0.462,0
2,46.21036,0,982520017,10,3.20499992370605,5500000.0,1678484.92,90285099.59,1,0,62,0.0928,0.7131,0.016,0.1672,4.807,0.8307,0.462,1
2,34.32324,0,1106400045,10,61.0389976501465,517000.0,1678484.92,110237451.25,0,0,62,0.0928,0.7131,0.016,0.1672,4.807,0.8307,0.462,0
